iter	RMSE
0	145222.2695
1	140553.3692
2	136115.0531
3	131911.2524
4	127971.6227
5	124411.7535
6	121020.4786
7	117601.2071
8	114448.8886
9	111561.2279
10	108793.0538
11	106184.745
12	103760.8352
13	101528.837
14	99350.80576
15	97192.61467
16	95355.19659
17	93613.59529
18	92006.0601
19	90296.5485
20	88789.81996
21	87321.53971
22	85910.1301
23	84614.50777
24	83465.69488
25	82302.21861
26	81250.8973
27	80160.23214
28	79161.79064
29	78149.0796
30	77298.47906
31	76537.18999
32	75720.53651
33	74866.1947
34	74132.59129
35	73474.37041
36	72872.60072
37	72243.82356
38	71594.8392
39	70969.91797
40	70384.5363
41	69808.591
42	69280.44949
43	68804.35021
44	68344.58697
45	67908.34662
46	67555.23081
47	67114.65532
48	66719.15992
49	66396.42702
50	66153.6496
51	65832.92438
52	65541.01552
53	65222.90574
54	64960.7301
55	64688.04611
56	64430.30366
57	64187.25691
58	63983.01108
59	63715.53766
60	63491.01733
61	63253.64214
62	63025.92117
63	62811.71331
64	62592.51352
65	62456.23519
66	62310.74133
67	62157.58501
68	61968.77365
69	61795.76311
70	61635.41321
71	61470.06947
72	61302.56762
73	61150.8562
74	61031.03552
75	60889.7467
76	60777.79385
77	60645.16181
78	60488.55864
79	60341.96267
80	60244.86932
81	60095.51291
82	59937.84349
83	59846.05111
84	59664.34234
85	59521.64789
86	59446.94301
87	59307.08864
88	59183.3088
89	59097.24194
90	59010.94974
91	58899.56937
92	58777.6549
93	58646.33739
94	58536.42379
95	58447.49343
96	58380.21558
97	58272.02073
98	58210.51172
99	58127.83529
100	58002.14868
101	57893.1637
102	57821.88515
103	57709.26576
104	57600.18274
105	57517.61652
106	57466.37694
107	57394.44931
108	57331.24688
109	57239.21919
110	57161.57916
111	57074.53892
112	57004.88058
113	56926.54824
114	56860.51054
115	56769.08336
116	56709.20515
117	56621.32473
118	56505.8093
119	56441.07291
120	56340.64606
121	56250.85919
122	56174.05163
123	56119.50091
124	56067.83444
125	56013.74195
126	55939.08947
127	55863.36212
128	55806.90026
129	55741.98417
130	55692.97993
131	55622.16639
132	55570.2046
133	55518.84432
134	55484.63504
135	55426.14278
136	55357.71881
137	55301.92861
138	55244.34363
139	55150.93861
140	55113.25576
141	55054.00108
142	54998.74304
143	54936.58563
144	54893.00233
145	54830.92369
146	54753.69733
147	54709.75251
148	54644.11312
149	54570.80616
150	54525.91474
151	54480.68781
152	54425.94772
153	54342.15082
154	54304.06214
155	54271.31478
156	54175.78677
157	54129.27011
158	54077.474
159	54007.78184
160	53924.23814
161	53884.15765
162	53843.46796
163	53808.78929
164	53738.95269
165	53699.49957
166	53649.54194
167	53596.76184
168	53557.44167
169	53513.64569
170	53457.50246
171	53417.8208
172	53375.08341
173	53300.71594
174	53264.84406
175	53212.09421
176	53164.75392
177	53109.56845
178	53041.65851
179	52945.32261
180	52901.6953
181	52817.22219
182	52753.52174
183	52699.55511
184	52654.58742
185	52621.26875
186	52584.01498
187	52539.12403
188	52490.99594
189	52448.08892
190	52404.30085
191	52367.67747
192	52312.67828
193	52276.76935
194	52220.4463
195	52153.78113
196	52119.93454
197	52080.49045
198	52035.91882
199	51981.15101
200	51923.92973
201	51858.91469
202	51800.2345
203	51764.28772
204	51704.94647
205	51641.47503
206	51601.51508
207	51570.78782
208	51526.28496
209	51471.22391
210	51427.78101
211	51392.95683
212	51341.25104
213	51294.69926
214	51236.41481
215	51182.81553
216	51155.01667
217	51103.65497
218	51055.38691
219	51010.29284
220	50979.65916
221	50923.23735
222	50904.56607
223	50849.74031
224	50795.69332
225	50741.63563
226	50689.62021
227	50644.371
228	50596.6664
229	50547.96913
230	50516.31837
231	50472.0889
232	50438.45255
233	50388.82307
234	50354.15035
235	50327.07569
236	50282.03973
237	50254.77901
238	50229.00241
239	50204.00755
240	50154.58162
241	50111.43856
242	50070.2072
243	50020.22653
244	49969.93576
245	49932.52073
246	49902.75553
247	49853.47757
248	49801.15341
249	49775.85575
250	49729.26671
251	49669.61439
252	49639.27772
253	49595.40545
254	49556.63065
255	49504.725
256	49457.50344
257	49429.36928
258	49395.20483
259	49370.05255
260	49336.74272
261	49323.56194
262	49294.83875
263	49259.55949
264	49209.97137
265	49167.99401
266	49129.95622
267	49094.25173
268	49038.67144
269	49000.88917
270	48965.01173
271	48916.82597
272	48891.68072
273	48861.10117
274	48818.67057
275	48794.49415
276	48758.74685
277	48727.31752
278	48704.66991
279	48670.82723
280	48627.71512
281	48584.48043
282	48559.33319
283	48505.07414
284	48460.25094
285	48406.11394
286	48373.06407
287	48320.24917
288	48282.34088
289	48240.46703
290	48217.59955
291	48169.46599
292	48126.44706
293	48098.49181
294	48070.02598
295	48040.99762
296	48014.35035
297	47962.06461
298	47929.62379
299	47905.39195
300	47879.11715
301	47841.51218
302	47817.58485
303	47785.78933
304	47758.00196
305	47716.97382
306	47677.44805
307	47652.3084
308	47630.5193
309	47600.14458
310	47568.80359
311	47542.26151
312	47500.43972
313	47452.84822
314	47412.2769
315	47384.84009
316	47359.62019
317	47310.53486
318	47285.59637
319	47245.96039
320	47221.24336
321	47198.18032
322	47163.60742
323	47127.04017
324	47102.81481
325	47081.11436
326	47048.62936
327	47011.99481
328	46968.62271
329	46941.54184
330	46907.41696
331	46862.39191
332	46839.6728
333	46787.79237
334	46758.8865
335	46736.89999
336	46697.91397
337	46663.42421
338	46644.16885
339	46614.86372
340	46580.60914
341	46548.84125
342	46514.98896
343	46484.93236
344	46452.77923
345	46435.1351
346	46404.06904
347	46377.7734
348	46356.3283
349	46327.1446
350	46299.13915
351	46254.28809
352	46222.9825
353	46199.95887
354	46159.01849
355	46138.5794
356	46109.57805
357	46081.11264
358	46042.3892
359	46002.54563
360	45969.47189
361	45943.78207
362	45921.26421
363	45894.41308
364	45873.42023
365	45842.3313
366	45823.43519
367	45778.96987
368	45748.30213
369	45726.31288
370	45711.42448
371	45679.71207
372	45653.27243
373	45623.24597
374	45604.51004
375	45564.56906
376	45536.03102
377	45499.57788
378	45473.79404
379	45442.98249
380	45422.06263
381	45398.86234
382	45377.45479
383	45353.70566
384	45334.49928
385	45299.41749
386	45274.29774
387	45250.68713
388	45226.80748
389	45205.66115
390	45181.89568
391	45158.0662
392	45130.81612
393	45104.22214
394	45077.63249
395	45056.16083
396	45032.74171
397	45010.02549
398	44988.40623
399	44959.33551
400	44928.53613
401	44905.54665
402	44875.16806
403	44857.14271
404	44838.38709
405	44821.65336
406	44801.44833
407	44762.80745
408	44739.16439
409	44707.78444
410	44681.33671
411	44654.50428
412	44632.49155
413	44615.44648
414	44587.82048
415	44569.94912
416	44550.63257
417	44529.95722
418	44502.87242
419	44476.74185
420	44454.51432
421	44434.72104
422	44404.46095
423	44381.71606
424	44358.80124
425	44333.05149
426	44309.19493
427	44283.49243
428	44270.30544
429	44235.04449
430	44217.47537
431	44196.73664
432	44169.41264
433	44146.98198
434	44122.56612
435	44082.90052
436	44059.25474
437	44030.88879
438	44013.3779
439	43994.82693
440	43975.16504
441	43949.04729
442	43913.2021
443	43888.89108
444	43863.81551
445	43848.928
446	43825.55546
447	43809.32224
448	43787.96497
449	43771.19263
450	43746.10892
451	43714.93277
452	43690.71801
453	43670.21369
454	43648.7093
455	43616.81331
456	43595.36002
457	43572.79237
458	43549.98251
459	43532.39831
460	43510.48572
461	43493.2658
462	43473.71068
463	43453.73199
464	43433.65285
465	43411.89517
466	43395.00502
467	43377.62001
468	43362.40328
469	43347.30252
470	43328.85656
471	43307.22123
472	43289.89917
473	43267.87342
474	43237.66006
475	43209.83927
476	43193.03099
477	43171.34568
478	43148.69325
479	43124.738
480	43108.37187
481	43082.14348
482	43056.40528
483	43032.71674
484	43009.47356
485	42985.3062
486	42959.18486
487	42949.42668
488	42930.92898
489	42909.34923
490	42891.52822
491	42873.32396
492	42854.21342
493	42842.65668
494	42820.75605
495	42806.74427
496	42784.25189
497	42767.27175
498	42751.45591
499	42737.34621
500	42711.95405
501	42699.98241
502	42682.61705
503	42658.24789
504	42645.47935
505	42609.58018
506	42585.72236
507	42570.9036
508	42556.90753
509	42538.35873
510	42514.55855
511	42486.62237
512	42472.08963
513	42449.94926
514	42430.67239
515	42399.3364
516	42382.25613
