iter	Passed	Remaining
0	5	10325
1	9	9216
2	12	8506
3	16	8248
4	20	8135
5	24	8024
6	27	7957
7	31	7912
8	35	7899
9	39	7914
10	43	7894
11	47	7886
12	51	7874
13	55	7836
14	59	7814
15	62	7757
16	66	7737
17	70	7787
18	74	7816
19	78	7787
20	82	7765
21	86	7734
22	89	7702
23	93	7706
24	97	7691
25	101	7687
26	105	7683
27	108	7666
28	113	7702
29	117	7741
30	121	7731
31	125	7693
32	128	7687
33	132	7671
34	136	7658
35	140	7646
36	144	7649
37	147	7622
38	151	7603
39	154	7593
40	158	7592
41	162	7588
42	166	7584
43	170	7576
44	174	7578
45	178	7570
46	181	7560
47	185	7562
48	189	7554
49	193	7551
50	197	7540
51	201	7535
52	204	7524
53	208	7509
54	212	7499
55	215	7484
56	219	7476
57	222	7460
58	226	7447
59	229	7427
60	233	7414
61	237	7413
62	240	7403
63	244	7396
64	248	7385
65	251	7373
66	255	7366
67	259	7360
68	262	7346
69	266	7336
70	269	7324
71	273	7320
72	276	7308
73	280	7301
74	284	7290
75	287	7285
76	291	7278
77	294	7264
78	298	7253
79	301	7246
80	305	7233
81	308	7227
82	312	7218
83	316	7209
84	319	7205
85	323	7204
86	327	7205
87	331	7199
88	335	7197
89	338	7190
90	342	7184
91	346	7179
92	349	7175
93	353	7165
94	357	7159
95	360	7152
96	364	7146
97	367	7140
98	371	7132
99	374	7123
100	378	7117
101	382	7110
102	385	7101
103	389	7097
104	392	7090
105	396	7081
106	399	7071
107	403	7065
108	406	7059
109	410	7054
110	414	7047
111	417	7044
112	421	7038
113	425	7031
114	428	7025
115	432	7016
116	435	7006
117	438	7000
118	442	6991
119	445	6986
120	449	6982
121	453	6978
122	456	6971
123	460	6964
124	463	6957
125	467	6955
126	471	6947
127	474	6941
128	478	6936
129	482	6935
130	486	6940
131	489	6933
132	493	6930
133	497	6922
134	500	6917
135	504	6914
136	508	6909
137	511	6902
138	514	6893
139	518	6886
140	521	6879
141	525	6875
142	529	6871
143	532	6865
144	536	6858
145	539	6854
146	543	6850
147	547	6846
148	550	6843
149	554	6839
150	558	6835
151	562	6832
152	565	6826
153	569	6821
154	572	6816
155	576	6813
156	579	6807
157	583	6802
158	587	6798
159	590	6795
160	594	6793
161	598	6790
162	602	6784
163	605	6782
164	609	6780
165	613	6774
166	616	6768
167	620	6763
168	623	6757
169	627	6750
170	630	6746
171	634	6741
172	637	6735
173	641	6732
174	645	6727
175	648	6721
176	651	6713
177	655	6709
178	659	6704
179	662	6697
180	665	6691
181	669	6687
182	673	6682
183	676	6679
184	680	6674
185	683	6668
186	687	6666
187	691	6661
188	694	6654
189	698	6651
190	701	6648
191	705	6644
192	709	6640
193	712	6635
194	716	6632
195	720	6629
196	723	6625
197	727	6619
198	730	6615
199	734	6610
200	738	6606
201	741	6600
202	745	6594
203	748	6591
204	752	6587
205	755	6583
206	759	6577
207	762	6572
208	766	6569
209	770	6563
210	773	6559
211	777	6553
212	781	6553
213	784	6549
214	788	6543
215	791	6537
216	794	6532
217	798	6526
218	801	6521
219	805	6514
220	808	6506
221	812	6503
222	815	6498
223	819	6494
224	822	6491
225	826	6488
226	830	6486
227	834	6483
228	838	6481
229	841	6479
230	845	6477
231	849	6472
232	852	6468
233	856	6464
234	859	6458
235	863	6454
236	866	6449
237	870	6442
238	873	6437
239	877	6431
240	880	6427
241	884	6423
242	887	6419
243	891	6414
244	894	6407
245	897	6402
246	901	6397
247	905	6395
248	909	6392
249	912	6388
250	916	6384
251	919	6380
252	923	6378
253	927	6373
254	930	6368
255	934	6364
256	937	6359
257	940	6353
258	944	6347
259	947	6341
260	951	6338
261	954	6334
262	958	6329
263	961	6325
264	965	6320
265	968	6315
266	972	6312
267	976	6308
268	979	6304
269	983	6300
270	986	6295
271	990	6292
272	993	6287
273	997	6284
274	1001	6280
275	1004	6277
276	1008	6272
277	1012	6268
278	1015	6263
279	1018	6259
280	1022	6255
281	1026	6251
282	1029	6247
283	1033	6243
284	1037	6240
285	1040	6237
286	1044	6232
287	1047	6228
288	1051	6224
289	1055	6221
290	1058	6218
291	1062	6214
292	1065	6210
293	1069	6205
294	1073	6202
295	1076	6198
296	1080	6194
297	1083	6191
298	1087	6187
299	1091	6183
300	1094	6179
301	1098	6175
302	1101	6170
303	1105	6167
304	1109	6163
305	1112	6158
306	1116	6154
307	1119	6150
308	1123	6146
309	1126	6142
310	1130	6138
311	1133	6134
312	1137	6131
313	1141	6128
314	1144	6124
315	1148	6121
316	1152	6117
317	1155	6113
318	1159	6109
319	1162	6104
