iter	RMSE
0	23887.70102
1	22455.51707
2	21131.7671
3	19907.79703
4	18799.37904
5	17767.63317
6	16808.60426
7	15921.57352
8	15110.37394
9	14370.64407
10	13700.66721
11	13088.13537
12	12523.38778
13	12012.98181
14	11556.26495
15	11146.31384
16	10773.76925
17	10433.04364
18	10128.01204
19	9857.463625
20	9615.520083
21	9400.706826
22	9209.004467
23	9040.210757
24	8886.939483
25	8750.501162
26	8632.931573
27	8528.922807
28	8436.151709
29	8354.630554
30	8282.420813
31	8219.192496
32	8163.281299
33	8115.348814
34	8071.542972
35	8033.534483
36	8001.165922
37	7971.702561
38	7945.072018
39	7922.267048
40	7902.89958
41	7885.000033
42	7869.894669
43	7857.044999
44	7844.834863
45	7834.252322
46	7825.584739
47	7817.605868
48	7810.692596
49	7804.742946
50	7799.18769
51	7794.397668
52	7789.984741
53	7786.473491
54	7782.743057
55	7779.721508
56	7775.635372
57	7773.266176
58	7771.086735
59	7768.452907
60	7766.518112
61	7763.893626
62	7761.726329
63	7760.616445
64	7758.901104
65	7757.343972
66	7755.358991
67	7754.422036
68	7753.418577
69	7751.949889
70	7751.000725
71	7750.411441
72	7749.127076
73	7748.473354
74	7747.637493
75	7747.124345
76	7746.361983
77	7745.491364
78	7744.535448
79	7743.398884
80	7741.415017
81	7740.457009
82	7739.324071
83	7738.78599
84	7738.113024
85	7737.619158
86	7736.885457
87	7735.376637
88	7734.386427
89	7731.839034
90	7730.061806
91	7728.56984
92	7727.186747
93	7727.015331
94	7726.835288
95	7726.666887
96	7726.336483
97	7724.95374
98	7724.207832
99	7723.621813
100	7722.900187
101	7722.633843
102	7721.991876
103	7721.335159
104	7721.203004
105	7720.869464
106	7720.393356
107	7719.921062
108	7718.78701
109	7718.718864
110	7717.909541
111	7717.200821
112	7716.928376
113	7715.51565
114	7714.325712
115	7712.16011
116	7711.886375
117	7711.404041
118	7710.830337
119	7709.261094
120	7707.683851
121	7706.812455
122	7706.023589
123	7705.563749
124	7705.153371
125	7704.587257
126	7703.806379
127	7703.319503
128	7701.66439
129	7700.061054
130	7699.686614
131	7697.580895
132	7697.202471
133	7695.636778
134	7694.581508
135	7693.507963
136	7693.098744
137	7692.745099
138	7691.959029
139	7690.534848
140	7690.325607
141	7689.6547
142	7688.795581
143	7688.491905
144	7686.766145
145	7686.314587
146	7684.533199
147	7682.690611
148	7682.160535
149	7681.927707
150	7680.927552
151	7680.738239
152	7680.532222
153	7679.925586
154	7679.411096
155	7678.167015
156	7677.695194
157	7677.117431
158	7675.962347
159	7674.533351
160	7674.045915
161	7673.188515
162	7672.601022
163	7672.165381
164	7671.676318
165	7671.314873
166	7670.629115
167	7670.126587
168	7669.686346
169	7669.407115
170	7668.463403
171	7667.922843
172	7667.456501
173	7666.991345
174	7666.548344
175	7664.373208
176	7662.879572
177	7662.591728
178	7661.081479
179	7659.388177
180	7658.795848
181	7657.23907
182	7656.84265
183	7655.173957
184	7654.933537
185	7654.555222
186	7654.21733
187	7653.198408
188	7652.324376
189	7651.278871
190	7650.858951
191	7649.495533
192	7649.396051
193	7649.04779
194	7648.885911
195	7647.965362
196	7646.169861
197	7645.794475
198	7644.88144
199	7644.716124
200	7644.494544
201	7644.240078
202	7643.916654
203	7643.120236
204	7643.016644
205	7642.051828
206	7641.284913
207	7641.035419
208	7639.413408
209	7639.092803
210	7638.031343
211	7637.715365
212	7637.337132
213	7637.015714
214	7636.726081
215	7636.531603
216	7635.450741
217	7635.26731
218	7634.477663
219	7634.144227
220	7633.764731
221	7633.330114
222	7632.975769
223	7632.69508
224	7632.519466
225	7631.707421
226	7631.509796
227	7630.687131
228	7630.19475
229	7629.347665
230	7628.603911
231	7627.954355
232	7627.293797
233	7626.895322
234	7625.845011
235	7624.27201
236	7624.06867
237	7623.799528
238	7622.492485
239	7621.679386
240	7621.359568
241	7621.027335
242	7620.256433
243	7619.089754
244	7618.895504
245	7618.79409
246	7617.96686
247	7617.352519
248	7617.192236
249	7616.990063
250	7616.700649
251	7615.931422
252	7615.655616
253	7614.961991
254	7614.422256
255	7613.691747
256	7613.478641
257	7612.557691
258	7612.467252
259	7611.64057
260	7611.434357
261	7610.82323
262	7609.263025
263	7608.920133
264	7608.706492
265	7607.949685
266	7607.659646
267	7607.424061
268	7607.288141
269	7606.943181
270	7606.708184
271	7606.649731
272	7606.290458
273	7605.293347
274	7604.103892
275	7603.201444
276	7602.901473
277	7602.145444
278	7601.940007
279	7600.45801
280	7599.758987
281	7599.683076
282	7599.542432
283	7599.086281
284	7598.834876
285	7598.722718
286	7597.156597
287	7597.056778
288	7596.918004
289	7596.675618
290	7595.91756
291	7594.668942
292	7594.466996
293	7594.185802
294	7593.706033
295	7593.238588
296	7592.899509
297	7592.801644
298	7592.72019
299	7591.986357
300	7591.716643
301	7591.506628
302	7591.247921
303	7591.060077
304	7590.454648
305	7590.171618
306	7589.421378
307	7589.199589
308	7588.591486
309	7588.403656
310	7588.158791
311	7587.927291
312	7587.574305
313	7587.509001
314	7587.423818
315	7587.249139
316	7586.923136
317	7586.81413
318	7585.692561
319	7585.469132
320	7584.539289
321	7583.440661
322	7583.387371
323	7582.340013
324	7581.65669
325	7581.467291
326	7580.699707
327	7580.608217
328	7580.474196
329	7580.326086
330	7580.109771
331	7579.780232
332	7579.471285
333	7579.157014
334	7578.524838
335	7577.234354
336	7576.790886
337	7576.705966
338	7576.489748
339	7576.410662
340	7576.167391
341	7575.46324
342	7575.320657
343	7575.029944
344	7574.342538
345	7574.101523
346	7573.939449
347	7573.095524
348	7572.976514
349	7572.833785
350	7572.608184
351	7572.14582
352	7572.106305
353	7571.689693
354	7571.477986
355	7571.315016
356	7569.935265
357	7569.43597
358	7569.03683
359	7568.417217
360	7568.245212
361	7567.221704
362	7566.99893
363	7565.921269
364	7565.273499
365	7564.656521
366	7564.039074
367	7563.930608
368	7563.15055
369	7562.878886
370	7562.804027
371	7562.588995
372	7561.498356
373	7561.265582
374	7560.738202
375	7560.462257
376	7560.061206
377	7558.960503
378	7558.918919
379	7558.470351
380	7557.800927
381	7556.690943
382	7555.429209
383	7555.195496
384	7554.882232
385	7554.718932
386	7554.559948
387	7554.326042
388	7554.089779
389	7553.860071
390	7552.819128
391	7552.443339
392	7552.239836
393	7551.687328
394	7551.450409
395	7551.300742
396	7550.314385
397	7550.147014
398	7549.689506
399	7549.326932
400	7548.816835
401	7548.575891
402	7548.367918
403	7547.300193
404	7546.580847
405	7546.32311
406	7545.691535
407	7545.476278
408	7545.219328
409	7544.433602
410	7543.453211
411	7542.553646
412	7542.424652
413	7542.03526
414	7541.656348
415	7540.963836
416	7540.346403
417	7540.112317
418	7539.917689
419	7539.670171
420	7539.553192
421	7538.859806
422	7538.031759
423	7537.304959
424	7536.961949
425	7536.515867
426	7536.298116
427	7536.274569
428	7535.077039
429	7535.027265
430	7534.252425
431	7534.088534
432	7533.519153
433	7533.362294
434	7533.233905
435	7533.048122
436	7532.807015
437	7532.110046
438	7531.546957
439	7531.052298
440	7530.987299
441	7530.833082
442	7530.091933
443	7528.998276
444	7528.069556
445	7527.695496
446	7527.481949
447	7526.715588
448	7526.384206
449	7526.31995
450	7525.989998
451	7525.676999
452	7524.98386
453	7524.320142
454	7523.822037
455	7523.685175
456	7523.546905
457	7522.988855
458	7522.784999
459	7522.073382
460	7521.884883
461	7521.208818
462	7520.650183
463	7520.401245
464	7520.072567
465	7519.435257
466	7518.470658
467	7518.245651
468	7518.04572
469	7517.974299
470	7517.78143
471	7516.804784
472	7516.165473
473	7515.364708
474	7515.247884
475	7515.023538
476	7514.793879
477	7514.614742
478	7514.329116
479	7514.271994
480	7513.983652
481	7513.707974
482	7513.407456
483	7513.346163
484	7512.994686
485	7512.380624
486	7511.28814
487	7510.847167
488	7510.256593
489	7510.018234
490	7509.71055
491	7509.534053
492	7509.403936
493	7508.819405
494	7507.90318
495	7507.830619
496	7507.338772
497	7506.827943
498	7506.658861
499	7505.890228
500	7505.169337
501	7504.985193
502	7504.796983
503	7504.549643
504	7504.350062
505	7504.17214
506	7503.994457
507	7503.868565
508	7503.523896
509	7502.697826
510	7502.147114
511	7501.056732
512	7500.742379
513	7500.544844
514	7500.414485
515	7500.300719
516	7500.03397
517	7499.924004
518	7499.68261
519	7498.8059
520	7498.318311
521	7498.104403
522	7497.884991
523	7497.822114
524	7497.715497
525	7497.482727
526	7496.961153
527	7496.401217
528	7496.303945
529	7496.239294
530	7496.025097
531	7495.900574
532	7495.217379
533	7495.098403
534	7494.942688
535	7494.748266
536	7494.690485
537	7494.597844
538	7494.439583
539	7494.403455
540	7494.344425
541	7493.787307
542	7493.449118
543	7493.252665
544	7493.055027
545	7492.752444
546	7492.688765
547	7492.482127
548	7492.316424
549	7492.142184
550	7492.03249
551	7491.872494
552	7491.762405
553	7491.609375
554	7490.954762
555	7490.795276
556	7490.395015
557	7490.086661
558	7489.609907
559	7489.451374
560	7488.889209
561	7487.903506
