iter	Passed	Remaining
0	29	23793
1	58	23373
2	91	24317
3	122	24356
4	152	24218
5	182	24148
6	212	24083
7	241	23950
8	271	23903
9	300	23770
10	329	23638
11	363	23858
12	393	23851
13	426	23946
14	455	23862
15	486	23856
16	517	23826
17	547	23793
18	577	23726
19	607	23685
20	638	23668
21	666	23571
22	695	23484
23	723	23404
24	753	23345
25	782	23299
26	812	23262
27	842	23228
28	870	23143
29	899	23091
30	928	23038
31	960	23060
32	994	23107
33	1026	23127
34	1059	23149
35	1092	23175
36	1124	23189
37	1157	23205
38	1189	23213
39	1222	23225
40	1255	23242
41	1289	23264
42	1322	23274
43	1354	23268
44	1387	23277
45	1420	23278
46	1452	23277
47	1486	23281
48	1518	23272
49	1551	23271
50	1585	23281
51	1617	23264
52	1650	23262
53	1684	23264
54	1716	23250
55	1749	23245
56	1782	23233
57	1815	23226
58	1848	23210
59	1881	23206
60	1914	23191
61	1947	23181
62	1979	23161
63	2012	23138
64	2044	23115
65	2077	23101
66	2109	23079
67	2142	23062
68	2175	23043
69	2191	22857
70	2224	22843
71	2257	22822
72	2289	22805
73	2322	22787
74	2354	22764
75	2371	22593
76	2404	22574
77	2436	22553
78	2468	22533
79	2501	22511
80	2533	22491
81	2566	22476
82	2599	22459
83	2632	22440
84	2665	22424
85	2698	22405
86	2731	22386
87	2764	22367
88	2797	22351
89	2830	22332
90	2863	22310
91	2896	22288
92	2928	22266
93	2961	22241
94	2994	22224
95	3027	22201
96	3060	22177
97	3092	22154
98	3125	22130
99	3158	22109
100	3191	22085
101	3224	22063
102	3257	22040
103	3290	22017
104	3322	21993
105	3355	21969
106	3388	21947
107	3397	21768
108	3430	21744
109	3432	21533
110	3465	21512
111	3498	21493
112	3531	21469
113	3564	21450
114	3597	21429
115	3630	21406
116	3663	21388
117	3696	21366
118	3729	21343
119	3762	21322
120	3796	21302
121	3828	21274
122	3860	21246
123	3893	21224
124	3925	21197
125	3957	21170
126	3991	21149
127	4024	21129
128	4057	21105
129	4090	21081
130	4123	21056
131	4156	21034
132	4189	21012
