iter	RMSE
0	139911.5378
1	130640.0875
2	122061.9808
3	114191.2386
4	107029.0418
5	100412.1647
6	94390.34278
7	88941.98188
8	83963.77685
9	79512.46039
10	75494.91667
11	71877.5624
12	68617.55658
13	65655.58551
14	62998.00582
15	60699.19718
16	58608.46582
17	56771.70385
18	55132.92577
19	53695.46527
20	52448.24495
21	51327.6831
22	50360.35123
23	49535.65286
24	48788.19044
25	48126.08669
26	47575.02256
27	47075.2429
28	46655.45729
29	46289.14559
30	45972.22941
31	45702.01111
32	45464.9308
33	45260.30855
34	45086.80579
35	44932.38325
36	44801.96396
37	44690.54134
38	44595.94392
39	44508.56797
40	44434.94171
41	44369.87154
42	44315.78456
43	44269.78957
44	44228.76591
45	44196.69478
46	44164.69776
47	44140.48266
48	44115.00305
49	44093.03412
50	44077.14164
51	44063.61871
52	44052.05252
53	44038.45632
54	44030.39406
55	44021.16435
56	44012.10579
57	44005.01781
58	43998.70961
59	43993.26066
60	43988.61532
61	43984.3138
62	43979.83902
63	43974.09809
64	43970.66451
65	43967.85713
66	43965.25149
67	43961.22354
68	43958.78777
69	43956.84576
70	43955.02487
71	43950.08581
72	43948.46576
73	43947.40357
74	43946.69868
75	43945.3014
76	43944.28361
77	43942.6182
78	43939.27056
79	43937.26464
80	43934.75742
81	43933.09943
82	43931.61346
83	43928.88047
84	43928.04383
85	43925.96981
86	43924.88762
87	43924.57075
88	43923.00935
89	43921.5973
90	43920.12668
91	43918.63228
92	43918.23025
93	43916.76526
94	43915.47021
95	43913.49141
96	43912.61545
97	43910.9911
98	43910.02306
99	43908.49959
100	43904.73531
101	43903.07821
102	43901.98302
103	43901.38549
104	43900.49068
105	43900.13389
106	43899.61331
107	43899.20286
108	43897.62667
109	43896.80861
110	43894.08662
111	43891.0094
112	43889.65684
113	43888.92736
114	43887.73377
115	43886.70488
116	43885.3562
117	43885.00829
118	43884.17221
119	43882.9399
120	43882.49187
121	43882.24076
122	43881.56525
123	43879.10918
124	43878.60132
125	43876.44563
126	43874.6403
127	43873.54714
128	43871.54133
129	43869.18819
130	43868.0915
131	43867.29617
132	43866.38253
133	43864.51944
134	43863.11604
135	43860.86482
136	43860.39086
137	43859.15075
138	43858.11693
139	43856.66579
140	43854.71144
141	43852.52993
142	43851.26349
143	43850.33396
144	43849.01201
145	43846.27436
146	43844.41125
147	43843.25939
148	43841.51093
149	43840.9251
150	43840.21844
151	43838.55198
152	43838.00146
153	43836.64766
154	43835.74614
155	43835.16934
156	43832.93672
157	43832.43149
158	43830.41287
159	43829.99492
160	43828.74609
161	43827.74354
162	43826.7394
163	43824.53428
164	43822.80418
165	43821.58902
166	43820.7611
167	43820.14259
168	43818.86094
169	43816.44049
170	43814.19996
171	43813.61676
172	43811.80272
173	43811.32169
174	43808.61068
175	43807.79051
176	43807.17015
177	43806.45473
178	43806.2045
179	43804.75625
180	43804.57542
181	43802.68935
182	43801.60698
183	43799.70031
184	43799.30552
185	43799.02084
186	43798.81539
187	43797.42288
188	43795.14049
189	43792.92974
190	43791.69689
191	43790.60143
192	43789.97738
193	43789.87085
194	43788.84417
195	43787.32217
196	43786.06106
197	43784.51425
198	43784.24583
199	43782.92317
200	43782.47313
201	43781.18123
202	43780.2429
203	43778.9506
204	43777.02492
205	43776.57053
206	43776.28493
207	43774.82821
208	43774.27796
209	43773.17433
210	43772.11976
211	43771.11092
212	43769.09854
213	43767.28864
214	43765.92118
215	43765.62708
216	43764.98776
217	43763.35736
218	43762.87157
219	43762.23161
220	43761.49904
221	43760.9921
222	43760.03213
223	43759.63605
224	43759.26811
225	43757.718
226	43757.5493
227	43757.1047
228	43755.68869
229	43754.55644
230	43754.08088
231	43752.62813
232	43751.67939
233	43750.87083
234	43749.45204
235	43749.29527
236	43748.19925
237	43748.08428
238	43746.89727
239	43746.3679
240	43746.24961
241	43745.51911
242	43744.46109
243	43744.33839
244	43743.72433
245	43742.32576
246	43741.37314
247	43740.48229
248	43740.15474
249	43739.00083
250	43737.92042
251	43736.94058
252	43736.40923
253	43735.13333
254	43734.66892
255	43733.75259
256	43733.07382
257	43731.38817
258	43730.98491
259	43730.28749
260	43729.13582
261	43728.61213
262	43727.46999
263	43727.06241
264	43726.21548
265	43725.30077
266	43725.23008
267	43725.11821
268	43724.8661
269	43723.49832
270	43722.8963
271	43722.77125
272	43722.36905
273	43722.18888
274	43721.19747
275	43720.41645
276	43719.58169
277	43718.06274
278	43717.20761
279	43716.1789
280	43715.64722
281	43715.25693
282	43714.36146
283	43713.24699
284	43712.52809
285	43711.79182
286	43709.58238
287	43708.91579
288	43708.54431
289	43708.20032
290	43707.03929
291	43706.12286
292	43705.51598
293	43704.51524
294	43703.35501
295	43702.41248
296	43701.54634
297	43700.79777
298	43699.99238
299	43699.20004
300	43697.68402
301	43697.0499
302	43696.29924
303	43695.52923
304	43694.86587
305	43694.36164
306	43694.10994
307	43692.89684
308	43691.83094
309	43690.98774
310	43690.45323
311	43690.36182
312	43690.00009
313	43689.94028
314	43689.66515
315	43689.21379
316	43688.62031
317	43688.55181
318	43688.24627
319	43687.40881
320	43687.07715
321	43686.71419
322	43686.23967
323	43685.52228
324	43685.01449
325	43684.61549
326	43683.84939
327	43683.25537
328	43682.64391
329	43682.30312
330	43681.68876
331	43680.82653
332	43680.17233
333	43679.4097
334	43679.16086
335	43678.893
336	43678.43024
337	43678.18329
338	43677.20296
339	43676.33742
340	43676.27862
341	43676.17462
342	43675.7163
343	43674.98315
344	43674.61281
345	43674.10114
346	43673.36931
347	43672.18287
348	43671.89004
349	43671.7119
350	43671.19781
351	43670.78666
352	43670.69779
353	43670.54542
354	43670.39613
355	43669.68572
356	43669.55905
357	43669.13349
358	43668.54671
359	43668.2
360	43667.87633
361	43666.29206
362	43665.62997
363	43665.26427
364	43664.87151
365	43664.62114
366	43663.70287
367	43663.28511
368	43662.95865
369	43662.40052
370	43661.89575
371	43661.24561
372	43661.14842
373	43660.82559
374	43660.19738
375	43659.95074
376	43659.41311
377	43659.11279
378	43659.02358
379	43658.96009
380	43658.62975
381	43658.17607
382	43657.97961
383	43657.46592
384	43657.20881
385	43656.81898
386	43656.55358
387	43655.66683
388	43655.57657
389	43655.06093
390	43654.63994
391	43654.34232
392	43653.36612
393	43653.00725
394	43652.84113
395	43652.57011
396	43652.20906
397	43651.33843
398	43650.7048
399	43650.4723
400	43650.18596
401	43649.00771
402	43648.65567
403	43648.00338
404	43647.70349
405	43646.57701
406	43645.48114
407	43644.93832
408	43644.75568
409	43644.28948
410	43643.23881
411	43642.94919
412	43642.914
413	43642.66606
414	43642.53498
415	43642.47805
416	43642.27515
417	43642.05656
418	43641.29169
419	43641.21246
420	43640.89541
421	43640.84999
422	43640.57896
423	43640.08627
424	43639.82788
425	43639.14059
426	43638.82719
427	43638.66914
428	43638.56485
429	43638.27237
430	43637.95867
431	43637.68539
432	43636.48953
433	43636.09999
434	43635.45072
435	43635.11889
436	43634.24893
437	43633.5289
438	43633.33352
439	43632.6068
440	43632.28099
441	43631.89874
442	43630.91376
443	43629.98639
444	43629.87515
445	43629.43122
446	43628.96228
447	43628.55659
448	43628.5332
449	43628.28544
450	43628.08368
451	43627.59887
452	43627.32173
453	43626.9788
454	43626.6642
455	43626.17106
456	43625.81994
457	43625.34282
458	43624.76764
459	43624.23716
460	43623.74722
461	43623.60003
462	43623.2879
463	43623.02273
464	43622.97316
465	43622.66622
466	43622.32703
467	43622.22615
468	43622.18351
469	43622.03282
470	43621.77311
471	43621.36438
472	43621.2405
473	43621.22047
474	43620.99125
475	43620.43864
476	43620.26904
477	43620.11322
478	43619.38173
479	43618.84432
480	43618.31828
481	43617.91056
482	43617.22545
483	43617.02761
484	43616.47634
485	43615.9703
486	43615.72197
487	43615.50521
488	43615.26799
489	43615.00195
490	43614.95629
491	43614.14887
492	43613.81655
493	43613.48237
494	43613.1723
495	43613.02456
496	43612.46384
497	43612.19187
498	43612.00716
499	43611.50299
500	43611.35124
501	43611.24241
502	43611.16554
503	43610.89909
504	43610.29561
505	43610.10104
506	43610.02849
507	43609.64241
508	43609.32852
509	43609.02321
510	43608.72478
511	43608.55195
512	43608.21085
513	43608.01148
514	43607.8342
515	43607.6454
516	43606.89791
517	43606.03693
518	43605.80052
519	43605.51039
520	43605.26913
521	43604.71603
522	43604.68943
523	43604.40375
524	43604.25244
525	43603.73451
526	43603.42924
527	43603.06504
528	43602.71735
529	43602.68925
530	43602.25
531	43602.16395
532	43601.58328
533	43601.36862
534	43600.80801
535	43600.58442
536	43600.27435
537	43599.91913
538	43599.7215
539	43598.83977
540	43598.66961
541	43598.37779
542	43598.19963
543	43597.59197
544	43597.33655
545	43597.23934
546	43596.71206
547	43596.23566
548	43596.1259
549	43595.82147
550	43595.34208
551	43595.32012
552	43594.95385
553	43594.74967
554	43594.47564
555	43594.38243
556	43594.26614
557	43594.24244
558	43593.96917
559	43593.81618
560	43593.50477
561	43592.60165
562	43592.40012
563	43592.31351
564	43592.01544
565	43591.898
566	43591.68318
567	43591.65935
568	43591.19866
569	43591.02793
570	43589.92825
571	43589.0931
572	43588.96127
573	43588.92243
574	43588.57494
575	43588.14427
576	43587.94178
577	43587.64446
578	43587.04123
579	43586.71164
580	43585.99326
581	43585.91558
582	43585.52867
583	43585.311
584	43585.09188
585	43585.00815
586	43584.62199
587	43584.5017
588	43584.19053
589	43584.04817
590	43583.97066
591	43583.86477
592	43583.02344
593	43582.60602
594	43582.22132
595	43582.07536
596	43581.64304
597	43581.46401
598	43581.09613
599	43580.79959
600	43579.81783
601	43579.55438
602	43579.53578
603	43579.3188
604	43579.15549
605	43578.25481
606	43578.07653
607	43577.9704
608	43577.79094
609	43577.69156
610	43577.47657
611	43577.45332
612	43577.40655
613	43577.273
614	43576.74478
615	43576.64819
616	43576.4851
617	43575.84404
618	43575.57561
619	43574.7407
620	43574.62326
621	43574.34427
622	43574.07607
623	43573.88766
624	43573.81911
625	43573.66796
626	43573.47785
627	43572.80568
628	43572.6577
629	43572.36973
630	43572.07774
631	43571.79678
632	43571.62525
633	43571.19278
634	43570.93339
635	43570.86317
636	43570.7489
637	43570.65775
638	43570.45707
639	43570.29276
640	43569.73163
641	43569.47741
642	43569.31193
643	43569.14203
644	43569.11371
645	43568.97384
646	43568.66101
647	43568.49101
648	43568.35786
649	43568.20415
650	43567.70036
651	43567.24132
652	43567.12568
653	43567.08127
654	43566.60679
655	43566.1825
656	43565.58958
657	43565.14362
658	43564.95156
659	43564.64174
660	43564.40646
661	43564.2066
662	43563.73469
663	43563.64204
664	43563.4514
665	43563.14192
666	43563.05776
667	43562.68098
668	43562.52693
669	43562.33381
670	43562.11261
671	43561.72832
672	43561.19489
673	43561.08587
674	43560.6998
675	43560.19186
676	43559.83524
677	43559.61977
678	43558.97999
679	43558.80111
680	43558.58666
681	43558.52586
682	43558.32198
683	43558.26172
684	43558.02279
685	43557.29646
686	43556.81315
687	43556.6524
688	43556.53595
689	43556.32493
690	43555.95846
691	43555.80941
692	43555.68799
693	43555.10628
694	43554.91326
695	43554.47394
696	43554.34665
697	43554.23148
698	43554.16715
699	43553.87585
700	43553.59078
701	43553.04477
702	43552.89699
703	43552.64978
704	43552.5544
705	43552.26568
706	43551.96339
707	43551.70667
708	43551.49542
709	43551.09557
710	43550.82083
711	43550.63404
712	43550.06096
713	43549.62369
714	43549.55948
715	43549.36621
716	43549.15366
717	43549.00377
718	43548.79078
719	43548.38704
720	43548.10047
721	43547.63403
722	43547.03016
723	43546.80987
724	43546.5057
725	43546.10277
726	43545.86228
727	43545.84546
728	43545.60206
729	43545.19369
730	43545.01532
731	43544.9166
732	43544.424
733	43544.33747
734	43544.18745
735	43544.05607
736	43543.99832
737	43543.83399
738	43543.6956
739	43543.59594
740	43543.45862
741	43543.23868
742	43542.55127
743	43542.49041
744	43542.37284
745	43542.14861
746	43542.01116
747	43541.87371
748	43541.75123
749	43541.54915
750	43541.35521
751	43541.07978
752	43541.04435
753	43540.92039
754	43540.64142
755	43540.29067
756	43540.1405
757	43539.8768
758	43539.50684
759	43539.13532
760	43537.95258
761	43537.8646
762	43537.80205
763	43537.60404
764	43537.48735
765	43536.76958
766	43536.66549
767	43536.5853
768	43536.5365
769	43536.2689
770	43536.07443
771	43535.88988
772	43535.77137
773	43535.58489
774	43535.52939
775	43535.22068
776	43535.19569
777	43535.05601
778	43534.96681
779	43534.76793
780	43534.63578
781	43534.26777
782	43534.05614
783	43534.00097
784	43533.89454
785	43533.56262
786	43533.46366
787	43533.15548
788	43532.94591
789	43532.88817
790	43532.87346
791	43532.82113
792	43532.43776
793	43532.21594
794	43532.18523
795	43531.98617
796	43531.68619
797	43531.16018
798	43531.13077
799	43531.04532
