iter	Passed	Remaining
0	3	3169
1	7	3165
2	11	2929
3	14	2812
4	17	2712
5	19	2629
6	22	2557
7	25	2519
8	28	2498
9	31	2472
10	34	2466
11	37	2453
12	40	2445
13	43	2426
14	46	2419
15	48	2381
16	51	2377
17	54	2363
18	57	2352
19	60	2344
20	62	2330
21	65	2327
22	68	2318
23	71	2312
24	74	2303
25	77	2297
26	80	2300
27	83	2297
28	86	2294
29	89	2290
30	92	2286
31	95	2300
32	99	2307
33	102	2303
34	105	2298
35	108	2295
36	111	2293
37	114	2288
38	116	2282
39	119	2277
40	122	2270
41	125	2267
42	128	2264
43	131	2258
44	134	2252
45	137	2248
46	140	2249
47	143	2249
48	146	2244
49	149	2238
50	151	2231
51	154	2229
52	158	2228
53	161	2227
54	162	2206
55	165	2201
56	168	2198
57	171	2195
58	174	2190
59	177	2186
60	180	2180
61	182	2176
62	185	2171
63	189	2173
64	192	2172
65	194	2167
66	197	2164
67	200	2158
68	204	2162
69	207	2161
70	210	2158
71	213	2153
72	215	2150
73	219	2153
74	223	2156
75	226	2153
76	229	2151
77	232	2149
78	235	2152
79	238	2150
80	241	2146
81	244	2143
82	247	2141
83	251	2141
84	254	2139
85	257	2135
86	260	2131
87	262	2127
88	265	2124
89	268	2119
90	271	2116
91	274	2110
92	277	2107
93	280	2105
94	283	2101
95	285	2096
96	288	2092
97	291	2088
98	294	2086
99	297	2085
100	300	2082
101	303	2077
102	306	2075
103	310	2075
104	313	2073
105	316	2069
106	319	2066
107	321	2062
108	324	2059
109	327	2054
110	330	2050
111	333	2045
112	335	2041
113	338	2038
114	341	2035
115	344	2031
116	347	2027
117	350	2024
118	352	2016
119	355	2013
120	358	2009
121	361	2007
122	364	2004
123	366	2000
124	369	1996
125	372	1994
126	375	1991
127	378	1987
128	381	1983
129	384	1979
130	387	1976
131	389	1972
132	392	1969
133	395	1965
134	398	1961
135	401	1960
136	404	1957
137	407	1953
138	410	1950
139	413	1947
140	416	1946
141	419	1945
142	422	1942
143	425	1938
144	428	1935
145	431	1933
146	434	1931
147	437	1927
148	440	1924
149	443	1921
150	446	1919
151	449	1916
152	452	1912
153	455	1909
154	457	1905
155	460	1902
156	464	1900
157	467	1898
158	470	1895
159	473	1892
160	475	1888
161	478	1885
162	481	1881
163	484	1877
164	487	1874
165	489	1870
166	492	1866
167	495	1863
168	498	1860
169	501	1857
170	503	1853
171	506	1850
172	509	1848
173	512	1844
174	516	1843
175	519	1840
176	521	1836
177	524	1834
178	527	1830
179	530	1827
180	533	1823
181	536	1820
182	538	1817
183	541	1814
184	544	1810
185	547	1807
186	550	1804
187	553	1801
188	556	1798
189	559	1795
190	562	1792
191	564	1788
192	567	1785
193	570	1781
194	573	1778
195	576	1775
196	579	1773
197	582	1769
198	584	1766
199	588	1764
200	591	1761
201	594	1758
202	597	1755
203	599	1752
204	602	1750
205	605	1746
206	608	1743
207	611	1739
208	614	1737
209	617	1735
210	620	1732
211	623	1729
212	626	1726
213	629	1724
214	632	1721
215	635	1718
216	638	1714
217	640	1711
218	643	1708
219	646	1705
220	649	1702
221	653	1700
222	656	1698
223	657	1691
224	660	1689
225	663	1686
226	667	1684
227	670	1680
228	673	1678
229	676	1676
230	679	1673
231	682	1671
232	686	1669
233	690	1669
234	693	1667
235	696	1664
236	699	1661
237	702	1659
238	705	1655
239	707	1651
240	710	1648
241	714	1646
242	717	1644
243	721	1642
244	723	1639
245	727	1637
246	730	1634
247	733	1632
248	736	1630
249	740	1628
250	743	1625
251	746	1622
252	749	1620
253	752	1617
254	755	1614
255	758	1611
256	761	1609
257	764	1606
258	768	1604
259	771	1601
260	774	1598
261	777	1595
262	780	1593
263	783	1591
264	786	1588
265	789	1585
266	793	1583
267	796	1581
268	799	1578
269	803	1576
270	805	1573
271	809	1571
272	812	1568
273	815	1565
274	818	1563
275	822	1561
276	825	1558
277	828	1555
278	831	1552
279	834	1549
280	837	1547
281	840	1544
282	844	1541
283	847	1539
284	850	1536
285	853	1534
286	856	1531
287	859	1528
288	862	1525
289	865	1522
290	868	1519
291	871	1516
292	874	1513
293	877	1510
294	880	1506
295	883	1503
296	886	1500
297	889	1497
298	891	1494
299	894	1491
300	897	1488
301	900	1484
302	903	1482
303	906	1479
304	909	1476
305	912	1473
306	915	1470
307	918	1467
308	921	1464
309	924	1461
310	927	1457
311	929	1454
312	933	1451
313	935	1448
314	939	1446
315	942	1443
316	945	1439
317	948	1436
318	951	1433
319	953	1430
320	956	1427
321	959	1424
322	962	1421
323	965	1418
324	968	1415
325	971	1412
326	974	1409
327	976	1405
328	979	1402
329	982	1399
330	985	1396
331	988	1393
332	991	1390
333	994	1387
334	997	1384
335	1000	1381
336	1002	1377
337	1005	1374
338	1008	1371
339	1011	1368
340	1014	1365
341	1017	1362
342	1020	1359
343	1023	1357
344	1026	1354
345	1029	1351
346	1032	1348
347	1035	1344
348	1038	1341
349	1041	1338
350	1044	1335
351	1046	1332
352	1049	1329
353	1052	1326
354	1055	1322
355	1058	1319
356	1061	1316
357	1063	1313
358	1066	1310
359	1069	1307
360	1072	1304
361	1075	1301
362	1078	1298
363	1081	1295
364	1084	1292
365	1087	1289
366	1090	1286
367	1093	1283
368	1096	1280
369	1099	1277
370	1102	1274
371	1105	1271
372	1107	1268
373	1110	1264
374	1113	1261
375	1116	1258
376	1119	1255
377	1122	1252
378	1125	1249
379	1128	1246
380	1131	1244
381	1134	1241
382	1137	1238
383	1140	1235
384	1143	1232
385	1146	1229
386	1149	1226
387	1152	1223
388	1155	1220
389	1158	1217
390	1161	1214
391	1164	1211
392	1167	1208
393	1169	1205
394	1172	1202
395	1175	1199
396	1178	1196
397	1181	1193
398	1183	1189
399	1186	1186
400	1189	1183
401	1192	1180
402	1195	1177
403	1198	1175
404	1202	1172
405	1205	1169
406	1209	1167
407	1212	1164
408	1215	1162
409	1218	1159
410	1221	1156
411	1225	1153
412	1228	1150
413	1231	1148
414	1234	1145
415	1237	1142
416	1240	1139
417	1244	1137
418	1247	1134
419	1249	1130
420	1252	1127
421	1255	1124
422	1270	1131
423	1272	1128
424	1275	1125
425	1278	1122
426	1281	1119
427	1284	1116
428	1287	1113
429	1290	1110
430	1293	1107
431	1295	1103
432	1298	1100
433	1301	1097
434	1304	1094
435	1307	1091
436	1310	1088
437	1314	1086
438	1317	1083
439	1320	1080
440	1322	1076
441	1325	1073
442	1328	1070
443	1331	1067
444	1334	1064
445	1337	1061
446	1340	1058
447	1343	1055
448	1346	1052
449	1349	1049
450	1352	1046
451	1355	1043
452	1358	1040
453	1361	1037
454	1364	1034
455	1367	1031
456	1370	1028
457	1373	1025
458	1376	1022
459	1379	1019
460	1382	1016
461	1385	1013
462	1388	1010
463	1391	1007
464	1394	1004
465	1396	1001
466	1399	997
467	1402	994
468	1405	991
469	1408	988
470	1411	985
471	1414	982
472	1417	979
473	1419	976
474	1422	973
475	1425	970
476	1429	967
477	1431	964
478	1434	961
479	1436	957
480	1439	954
481	1442	951
482	1445	948
483	1448	945
484	1451	942
485	1454	939
486	1457	936
487	1460	933
488	1463	930
489	1466	927
490	1469	925
491	1472	922
492	1476	919
493	1479	916
494	1482	913
495	1485	910
496	1488	907
497	1491	904
498	1494	901
499	1497	898
500	1499	895
501	1502	892
502	1505	888
503	1508	885
504	1511	882
505	1514	879
506	1516	876
507	1519	873
508	1522	870
509	1525	867
510	1527	864
511	1530	861
512	1533	857
513	1536	854
514	1537	851
515	1540	848
516	1543	844
517	1546	841
518	1548	838
519	1551	835
520	1553	832
521	1556	829
522	1559	826
523	1563	823
524	1566	820
525	1569	817
526	1572	814
527	1575	811
528	1578	808
529	1581	805
530	1584	802
531	1587	799
532	1591	797
533	1594	794
534	1596	790
535	1599	788
536	1602	785
537	1606	782
538	1609	779
539	1612	776
540	1615	773
541	1618	770
542	1621	767
543	1624	764
544	1627	761
545	1629	758
546	1632	755
547	1635	752
548	1638	749
549	1641	746
550	1644	743
551	1647	740
552	1650	737
553	1653	734
554	1656	731
555	1658	727
556	1660	724
557	1663	721
558	1667	718
559	1670	715
560	1673	713
561	1676	709
562	1679	707
563	1682	704
564	1685	701
565	1688	697
566	1691	695
567	1694	692
568	1697	689
569	1700	686
570	1703	683
571	1706	680
572	1709	677
573	1712	674
574	1714	671
575	1717	668
576	1720	665
577	1723	662
578	1727	659
579	1729	656
580	1732	653
581	1735	650
582	1738	647
583	1741	644
584	1744	641
585	1747	638
586	1750	635
587	1753	632
588	1756	629
589	1759	626
590	1762	623
591	1764	620
592	1767	617
593	1770	614
594	1773	611
595	1777	608
596	1779	605
597	1782	602
598	1785	599
599	1788	596
600	1791	593
601	1794	590
602	1797	587
603	1800	584
604	1803	581
605	1806	578
606	1809	575
607	1812	572
608	1815	569
609	1816	565
610	1819	562
611	1822	559
612	1825	556
613	1828	553
614	1831	550
615	1834	547
616	1837	544
617	1839	541
618	1842	538
619	1845	535
620	1848	532
621	1851	529
622	1854	526
623	1857	523
624	1859	520
625	1862	517
626	1865	514
627	1868	511
628	1871	508
629	1874	505
630	1877	502
631	1880	499
632	1883	496
633	1886	493
634	1889	490
635	1892	487
636	1895	484
637	1897	481
638	1900	478
639	1903	475
640	1906	472
641	1910	470
642	1912	467
643	1915	464
644	1918	461
645	1921	458
646	1924	455
647	1927	452
648	1930	449
649	1933	446
650	1936	443
651	1939	440
652	1942	437
653	1944	434
654	1947	431
655	1950	428
656	1953	425
657	1956	422
658	1959	419
659	1962	416
660	1965	413
661	1968	410
662	1971	407
663	1974	404
664	1977	401
665	1980	398
666	1982	395
667	1986	392
668	1989	389
669	1992	386
670	1995	383
671	1998	380
672	2001	377
673	2004	374
674	2007	371
675	2009	368
676	2013	365
677	2016	362
678	2018	359
679	2021	356
680	2024	353
681	2027	350
682	2030	347
683	2032	344
684	2035	341
685	2038	338
686	2041	335
687	2044	332
688	2047	329
689	2050	326
690	2053	323
691	2055	320
692	2058	317
693	2061	314
694	2064	311
695	2067	308
696	2069	305
697	2072	302
698	2075	299
699	2078	296
700	2081	293
701	2084	290
702	2087	287
703	2090	285
704	2093	282
705	2096	279
706	2099	276
707	2102	273
708	2105	270
709	2108	267
710	2111	264
711	2114	261
712	2117	258
713	2120	255
714	2123	252
715	2126	249
716	2129	246
717	2131	243
718	2134	240
719	2137	237
720	2140	234
721	2143	231
722	2146	228
723	2149	225
724	2151	222
725	2154	219
726	2157	216
727	2160	213
728	2163	210
729	2166	207
730	2169	204
731	2172	201
732	2175	198
733	2178	195
734	2181	192
735	2185	190
736	2188	187
737	2191	184
738	2194	181
739	2198	178
740	2201	175
741	2204	172
742	2208	169
743	2211	166
744	2214	163
745	2217	160
746	2220	157
747	2223	154
748	2226	151
749	2229	148
750	2232	145
751	2234	142
752	2237	139
753	2240	136
754	2243	133
755	2246	130
756	2249	127
757	2252	124
758	2255	121
759	2257	118
760	2260	115
761	2263	112
762	2266	109
763	2269	106
764	2272	103
765	2275	100
766	2277	98
767	2280	95
768	2283	92
769	2286	89
770	2289	86
771	2292	83
772	2295	80
773	2298	77
774	2301	74
775	2304	71
776	2307	68
777	2310	65
778	2313	62
779	2316	59
780	2319	56
781	2322	53
782	2325	50
783	2328	47
784	2331	44
785	2334	41
786	2337	38
787	2340	35
788	2343	32
789	2345	29
790	2347	26
791	2350	23
792	2353	20
793	2356	17
794	2359	14
795	2362	11
796	2364	8
797	2367	5
798	2370	2
799	2373	0
