iter	RMSE
0	0.508597123
1	0.4910397876
2	0.4745539217
3	0.4588336835
4	0.4438936677
5	0.4295126293
6	0.4164141827
7	0.4035638631
8	0.391649147
9	0.3802891402
10	0.3696100434
11	0.3595778135
12	0.3502213268
13	0.3408580015
14	0.3318284125
15	0.3234648477
16	0.3155803642
17	0.3081801141
18	0.301102406
19	0.2946030378
20	0.2885167472
21	0.2829963548
22	0.2777225253
23	0.2725055307
24	0.2682048964
25	0.2630844862
26	0.258472542
27	0.254788393
28	0.2505378433
29	0.2469431951
30	0.2436538798
31	0.2397692941
32	0.2367052382
33	0.2333998533
34	0.2307772296
35	0.2281228843
36	0.2254809381
37	0.22302888
38	0.220975473
39	0.2188565461
40	0.2163102632
41	0.2144941567
42	0.2125961569
43	0.2110520828
44	0.2094903194
45	0.2077283515
46	0.2060036045
47	0.2044614816
48	0.2030955169
49	0.2018025404
50	0.20012172
51	0.1990885615
52	0.1980416279
53	0.1970974101
54	0.1958457445
55	0.1949135943
56	0.1940138563
57	0.1933006732
58	0.1925447727
59	0.1917995657
60	0.1910032187
61	0.190280482
62	0.1895376106
63	0.1888217929
64	0.1882334421
65	0.1876353988
66	0.1870515586
67	0.1863357436
68	0.1857470254
69	0.1852562525
70	0.1845857765
71	0.1840934373
72	0.1836626016
73	0.1832242825
74	0.1828158911
75	0.1823514807
76	0.1819663186
77	0.1813964485
78	0.1810652597
79	0.1801994517
80	0.1797800608
81	0.1792026797
82	0.178919823
83	0.1783952341
84	0.1780966522
85	0.1778404875
86	0.1775247695
87	0.177203401
88	0.1767430451
89	0.1764186406
90	0.1761413524
91	0.1758444824
92	0.1755361535
93	0.1751190025
94	0.1748763733
95	0.1747125117
96	0.1745271874
97	0.174140021
98	0.1736794339
99	0.1734743029
100	0.1730141449
101	0.1727950972
102	0.1724859897
103	0.1722509739
104	0.1720269694
105	0.171833959
106	0.1715946979
107	0.1713536263
108	0.1711344254
109	0.1709466648
110	0.1707609602
111	0.1705132489
112	0.1703443842
113	0.1701032485
114	0.1697218057
115	0.1695622139
116	0.1692929078
117	0.1690358045
118	0.1688095665
119	0.1686704273
120	0.1685327691
121	0.1683150535
122	0.1681614266
123	0.1680276467
124	0.1677414048
125	0.1675935006
126	0.1673845901
127	0.1670760785
128	0.166953742
129	0.1667997087
130	0.1665126218
131	0.1663521993
132	0.1660949638
133	0.1659176007
134	0.1657980239
135	0.1657095544
136	0.1654381611
137	0.1653465597
138	0.1650734194
139	0.1649525368
140	0.1648274056
141	0.1646034561
142	0.1644297757
143	0.1642920714
144	0.1641615976
145	0.1640717701
146	0.1639789676
147	0.1638998395
148	0.1637759993
149	0.1636864437
150	0.1634832247
151	0.1633759276
152	0.1631504844
153	0.1630361756
154	0.1629286905
155	0.1627810089
156	0.1626764367
157	0.162583505
158	0.1624222909
159	0.1623511111
160	0.1622523764
161	0.1620326199
162	0.1618057394
163	0.1616677234
164	0.1615584827
165	0.1614707364
166	0.1613100158
167	0.161180639
168	0.1611000946
169	0.1610108252
170	0.1608856389
171	0.1607599988
172	0.1606055652
173	0.1605087506
174	0.1602999433
175	0.1601719116
176	0.1600888623
177	0.1599947328
178	0.1599155268
179	0.1598330496
180	0.1595884061
181	0.1595095704
182	0.1593903172
183	0.1591825653
184	0.1590593021
185	0.1589536339
186	0.1588818203
187	0.1587474164
188	0.1586064476
189	0.1584658692
190	0.1583505578
191	0.1582562661
192	0.158138942
193	0.1579897875
194	0.1578794325
195	0.1576776479
196	0.1575867969
197	0.1575225052
198	0.1574241937
199	0.1573116466
200	0.1571825857
201	0.1570745296
202	0.1569812472
203	0.1568831474
204	0.1567191444
205	0.1565399244
206	0.1564270945
207	0.156351177
208	0.1562821474
209	0.1560997007
210	0.155999957
211	0.1559367217
212	0.1557684693
213	0.1556302223
214	0.1554709855
215	0.1553818549
216	0.1552642224
217	0.1550629446
218	0.1549272677
219	0.1548306131
220	0.1547360373
221	0.1546733959
222	0.1545769925
223	0.1544571325
224	0.1542964644
225	0.1542362521
226	0.1540738403
227	0.1539522734
228	0.1538370635
229	0.153742515
230	0.1536457541
231	0.1535603691
232	0.1534817627
233	0.1533895213
234	0.1533081098
235	0.1532207844
236	0.153084814
237	0.1529947933
238	0.1529016499
239	0.152822697
240	0.1527326092
241	0.1526229947
242	0.1524988554
243	0.1523767005
244	0.1522824796
245	0.1522046686
246	0.1521232302
247	0.1519833175
248	0.1519029237
249	0.1518159416
250	0.1517254946
251	0.1516194753
252	0.15152444
253	0.1514304051
254	0.1513423156
255	0.1512423424
256	0.1511710697
257	0.1510474265
258	0.1509461218
259	0.1508045243
260	0.1507223958
261	0.1506334683
262	0.1505503074
263	0.1504637836
264	0.1503938868
265	0.1503152194
266	0.1501924017
267	0.1500835028
268	0.1500015887
269	0.1499212986
270	0.1498496863
271	0.1497891632
272	0.1496786601
273	0.1495955231
274	0.1495255789
275	0.149415454
276	0.1493394426
277	0.1492470126
278	0.1491837415
279	0.1490800195
280	0.1489610905
281	0.1488712767
282	0.1487663075
283	0.1487023571
284	0.1486127618
285	0.1485334824
286	0.1484892605
287	0.1484043809
288	0.1483195866
289	0.148217529
