iter	Passed	Remaining
0	4	4863
1	8	4253
2	12	4047
3	15	3939
4	20	3983
5	23	3930
6	27	3891
7	31	3931
8	35	3909
9	39	3893
10	42	3853
11	46	3849
12	50	3831
13	54	3805
14	57	3799
15	61	3800
16	65	3786
17	69	3771
18	72	3762
19	76	3759
20	80	3744
21	83	3721
22	87	3712
23	91	3710
24	95	3716
25	98	3693
26	102	3693
27	106	3684
28	110	3685
29	113	3678
30	117	3665
31	120	3655
32	124	3650
33	128	3647
34	131	3639
35	135	3632
36	139	3621
37	143	3624
38	146	3615
39	150	3609
40	154	3603
41	157	3602
42	161	3594
43	164	3584
44	168	3575
45	172	3574
46	176	3573
47	179	3562
48	183	3557
49	186	3552
50	190	3552
51	194	3549
52	198	3547
53	202	3549
54	206	3543
55	210	3540
56	213	3535
57	217	3538
58	221	3531
59	225	3526
60	229	3525
61	232	3522
62	236	3517
63	239	3507
64	243	3502
65	247	3500
66	250	3493
67	254	3489
68	258	3484
69	261	3476
70	265	3475
71	269	3470
72	272	3465
73	276	3458
74	280	3455
75	283	3450
76	287	3445
77	291	3442
78	294	3438
79	298	3436
80	302	3428
81	306	3430
82	310	3429
83	314	3424
84	317	3420
85	321	3415
86	324	3410
87	328	3403
88	332	3398
89	335	3393
90	339	3390
91	343	3385
92	347	3385
93	350	3380
94	354	3373
95	356	3359
96	360	3353
97	363	3347
98	367	3343
99	370	3336
100	374	3334
101	378	3331
102	382	3328
103	385	3324
104	389	3317
105	392	3314
106	396	3310
107	400	3309
108	404	3305
109	408	3303
110	411	3299
111	415	3294
112	419	3292
113	422	3287
114	426	3281
115	430	3279
116	433	3273
117	437	3267
118	440	3264
119	444	3261
120	448	3259
121	452	3258
122	456	3255
123	460	3252
124	464	3248
125	468	3246
126	471	3241
127	475	3240
128	479	3238
129	483	3237
130	488	3238
131	492	3235
132	496	3235
133	499	3231
134	503	3228
135	507	3223
136	511	3219
137	514	3213
138	518	3210
139	521	3205
140	525	3202
141	529	3198
142	533	3194
143	537	3193
144	541	3190
145	544	3186
146	548	3183
147	552	3179
148	556	3178
149	560	3173
150	563	3170
151	567	3166
152	571	3163
153	575	3159
154	578	3156
155	582	3153
156	586	3149
157	594	3168
158	598	3164
159	601	3159
160	605	3155
161	609	3151
162	613	3148
163	616	3144
164	620	3139
165	624	3136
166	627	3131
167	631	3127
168	634	3122
169	638	3118
170	642	3115
171	646	3109
172	649	3105
173	653	3102
174	657	3098
175	660	3093
176	664	3088
177	667	3081
178	670	3075
179	674	3072
180	678	3068
181	681	3063
182	685	3060
183	688	3055
184	692	3052
185	696	3048
186	699	3043
187	703	3038
188	707	3034
189	710	3031
190	714	3026
191	718	3023
192	722	3020
193	725	3016
194	729	3011
195	733	3008
196	736	3003
197	740	2999
198	744	2995
199	747	2991
200	751	2987
201	755	2983
202	758	2979
203	762	2975
204	766	2971
205	769	2965
206	773	2961
207	776	2956
208	780	2952
209	783	2948
210	787	2944
211	790	2939
212	795	2938
213	799	2935
214	802	2930
215	806	2926
216	810	2922
217	814	2919
218	817	2915
219	821	2911
220	824	2905
221	827	2901
222	831	2897
223	835	2895
224	839	2892
225	843	2887
226	847	2884
227	850	2879
228	854	2876
229	857	2872
230	861	2867
231	865	2863
232	868	2860
233	872	2856
234	876	2852
235	880	2849
236	883	2845
237	887	2842
238	891	2837
239	894	2833
240	898	2829
241	902	2826
242	906	2822
243	909	2818
244	913	2814
245	916	2810
246	920	2805
247	923	2801
248	927	2797
249	931	2794
250	934	2789
251	938	2786
252	942	2783
253	946	2779
254	949	2774
255	953	2770
256	956	2766
257	960	2762
258	964	2759
259	967	2755
260	971	2751
261	975	2747
262	979	2743
263	982	2740
264	986	2735
265	990	2732
266	993	2728
267	997	2725
268	1001	2720
269	1005	2717
270	1009	2714
271	1012	2710
272	1016	2707
273	1020	2703
274	1023	2699
275	1027	2695
276	1031	2691
277	1034	2687
278	1038	2683
279	1042	2679
280	1046	2676
281	1049	2673
282	1053	2669
283	1057	2666
284	1061	2661
285	1064	2658
286	1068	2654
287	1072	2650
288	1075	2646
289	1079	2642
290	1082	2637
291	1086	2634
292	1090	2630
293	1093	2626
294	1097	2622
295	1101	2618
296	1104	2615
297	1108	2611
298	1112	2607
299	1115	2603
300	1119	2600
301	1123	2596
302	1127	2593
303	1130	2589
304	1134	2585
305	1138	2581
306	1141	2577
307	1145	2572
308	1148	2569
309	1152	2565
310	1156	2561
311	1159	2556
312	1163	2552
313	1166	2549
314	1170	2545
315	1174	2541
316	1177	2538
