iter	RMSE
0	0.5067096715
1	0.4914120253
2	0.4769606427
3	0.4636429628
4	0.4507861152
5	0.438784038
6	0.4278638448
7	0.4173327447
8	0.407077113
9	0.3982087798
10	0.3895397579
11	0.3814037144
12	0.3737855641
13	0.3665251378
14	0.359989827
15	0.3541677864
16	0.348493533
17	0.3434333587
18	0.3386423297
19	0.3338276469
20	0.3303533339
21	0.3264249202
22	0.3229255124
23	0.3190555703
24	0.3154550737
25	0.3123193794
26	0.3092198723
27	0.3062626194
28	0.3037162823
29	0.3014113293
30	0.2993641369
31	0.2972982864
32	0.2954085877
33	0.2935515571
34	0.2921082779
35	0.2911344577
36	0.2894208731
37	0.2878860607
38	0.2864901745
39	0.2851009179
40	0.2837989703
41	0.2825443663
42	0.2814535407
43	0.2804607718
44	0.2794204857
45	0.2786123341
46	0.2776187725
47	0.2770320264
48	0.2763858711
49	0.2757352221
50	0.2750899006
51	0.2744611678
52	0.2736973655
53	0.2729800979
54	0.2720393162
55	0.2713471826
56	0.2705124204
57	0.2700947561
58	0.2696179884
59	0.2692748849
60	0.2686046112
61	0.2680221864
62	0.267555463
63	0.2671313283
64	0.2665029908
65	0.2658308909
66	0.2655400743
67	0.2650759719
68	0.2646784995
69	0.2643919921
70	0.2639226411
71	0.2635574228
72	0.2631711478
73	0.2628164706
74	0.2627121308
75	0.2622871445
76	0.2620284292
77	0.2617163273
78	0.2613263383
79	0.260966763
80	0.2606070858
81	0.2602725412
82	0.2598799304
83	0.2595001017
84	0.2592208052
85	0.2590154323
86	0.2588216613
87	0.2585415942
88	0.2582309293
89	0.2578908256
90	0.2576180301
91	0.2573191347
92	0.2569306093
93	0.2565797017
94	0.2563391979
95	0.2560507168
96	0.2558194426
97	0.2556497754
98	0.255464491
99	0.2551649484
100	0.2550901906
101	0.2550022941
102	0.2548758401
103	0.2547154198
104	0.2544487876
105	0.2543684968
106	0.2542269515
107	0.254049166
108	0.2538257434
109	0.2536327094
110	0.253402838
111	0.2532702562
112	0.2530457249
113	0.252854472
114	0.2526030967
115	0.2523499492
116	0.2521635883
117	0.2520311944
118	0.2520081697
119	0.2518025827
120	0.2517043483
121	0.2516015959
122	0.2513263944
123	0.251214457
124	0.2511414733
125	0.251044564
126	0.2508250913
127	0.2507045827
128	0.250536509
129	0.250410741
130	0.2502380889
131	0.2500740809
132	0.2499116796
133	0.2496750625
134	0.2494519328
135	0.2492312793
136	0.249145474
137	0.2490665398
138	0.2489692124
139	0.2487991352
140	0.2485550711
141	0.2484301248
142	0.2483110317
143	0.248193355
144	0.2479888872
145	0.2478836967
146	0.2478733928
147	0.2477030957
148	0.2475175551
149	0.2474373264
150	0.2472657984
151	0.2471838306
152	0.2469250354
153	0.2467650065
154	0.2467364576
155	0.2465458825
156	0.2464205782
157	0.2462197626
158	0.2461030612
159	0.2460350363
160	0.2458704281
161	0.2457297984
162	0.2455618731
163	0.2454627141
164	0.245445647
165	0.2453500059
166	0.2451841327
167	0.2450004261
168	0.2448172139
169	0.2446977917
170	0.2445634001
171	0.2444146561
172	0.2443267937
173	0.2442172429
174	0.2440674006
175	0.2438910782
176	0.2437869957
177	0.2436275081
178	0.243459846
179	0.2433214541
180	0.2430326813
181	0.2428983142
182	0.2427189372
183	0.2425303463
184	0.2423646135
185	0.2422791329
186	0.242188255
187	0.2420734531
188	0.2419730719
189	0.2418744425
190	0.2416858565
191	0.2415448669
192	0.2414271968
193	0.2412535908
194	0.2410687306
195	0.2409043464
196	0.2406982695
197	0.2405776539
198	0.2404671377
199	0.2403193514
200	0.2401672698
201	0.2400207874
202	0.2398174027
203	0.2396572609
204	0.2394985229
205	0.2393479768
206	0.2392628268
207	0.2391008808
208	0.2389858223
209	0.2388679121
210	0.2387522296
211	0.2386673687
212	0.2385720696
213	0.2384231787
214	0.2382593978
215	0.2381433161
216	0.2379994137
217	0.2378886162
218	0.2377184615
219	0.2375364415
220	0.2373765113
221	0.2372308634
222	0.2370436774
223	0.2368622003
224	0.236737644
225	0.2366309655
226	0.236452382
227	0.2362848881
228	0.2361635707
229	0.2359377856
230	0.2357959712
231	0.2356846839
232	0.2355637429
233	0.2354771212
234	0.2352670466
235	0.2351545202
236	0.2349888296
237	0.23488149
238	0.234713141
239	0.2345703418
240	0.2343885732
241	0.2342694506
242	0.2341615616
243	0.2340473384
244	0.2339392759
245	0.2337484317
246	0.2336375099
247	0.2334603404
248	0.2332762805
249	0.233160093
250	0.232952369
251	0.2327968204
252	0.2326775657
253	0.2325183664
254	0.232361592
255	0.2322676864
256	0.2321899968
257	0.2320459598
258	0.2319431145
259	0.2318307365
260	0.2316685701
261	0.2315650091
262	0.231481765
263	0.2313645832
264	0.2311960182
265	0.2310969527
266	0.2309777962
267	0.2308271205
268	0.2307563533
269	0.2306361098
270	0.2304993401
271	0.2303830334
272	0.2302691322
273	0.2301892745
274	0.2301179971
275	0.2300493968
276	0.2299585158
277	0.2299080726
278	0.2297907472
279	0.2296684742
280	0.2295456472
281	0.2294473637
282	0.2293627949
283	0.2292289057
284	0.2290975729
285	0.2289923354
286	0.2289267974
287	0.2287898318
288	0.2286491898
289	0.2285376165
290	0.2284671976
291	0.2283944636
292	0.2283517412
293	0.2282349507
294	0.2281060515
295	0.2280101238
296	0.2279138288
297	0.2277577858
298	0.227667334
299	0.2275820472
300	0.2274605124
301	0.2274006255
302	0.2272859968
303	0.227161895
304	0.2269798688
305	0.2268830894
306	0.2267638244
307	0.2266917909
308	0.2266316764
309	0.2265717134
310	0.2264482858
311	0.2263837958
312	0.2262946602
313	0.226198504
314	0.2261144963
315	0.2261137703
316	0.225984568
317	0.2258307911
318	0.2257555104
319	0.2256992925
320	0.2256038259
321	0.2254842699
322	0.2254072259
323	0.2253126987
324	0.2251976752
325	0.225047498
326	0.2249387488
327	0.2248116492
328	0.2247107101
329	0.2245735453
330	0.2244720404
331	0.2243226542
332	0.2242287332
333	0.2241557759
334	0.2239891516
335	0.2238738837
336	0.2237779203
337	0.2236920181
338	0.2235918697
339	0.2235116146
340	0.2234083381
341	0.2232941176
342	0.2231674376
343	0.2230916702
344	0.2229893482
345	0.222908551
346	0.2228288663
347	0.2227265754
348	0.2226377771
349	0.22256377
350	0.2225001986
351	0.2224000162
352	0.2223127386
353	0.222177094
354	0.222061269
355	0.2219926294
356	0.2219129986
357	0.2217447687
358	0.2216179227
359	0.2215847888
360	0.221499482
361	0.221327315
362	0.2211986924
363	0.2211096326
364	0.2210129265
365	0.2208920127
366	0.2208062846
367	0.2206569983
368	0.2205422719
369	0.2204571799
370	0.2203166237
371	0.2201966922
372	0.2200985788
373	0.2200151571
374	0.2199113476
375	0.2198066147
376	0.2196763773
377	0.2196078165
378	0.2195374396
379	0.2194319859
380	0.2193625677
381	0.2193025653
382	0.2192105845
383	0.2191026215
384	0.2190192733
385	0.2189040136
386	0.218792046
387	0.2186413538
388	0.2185679067
389	0.218514327
390	0.2184194605
391	0.2183496433
392	0.2182517282
393	0.2181752469
394	0.2181331383
395	0.2180765368
396	0.2180002973
397	0.217861436
398	0.2177158334
399	0.2176304397
400	0.2175325559
401	0.2174398373
402	0.2173609743
403	0.2172470791
404	0.2171590689
405	0.217058569
406	0.2169398861
407	0.2168139592
408	0.2167422732
409	0.2166866484
410	0.2165955408
411	0.2165342664
412	0.2164330408
413	0.2163577163
414	0.2162985789
415	0.2161921742
416	0.2161164444
417	0.2160331636
418	0.2159402975
419	0.2158388194
420	0.2158006615
421	0.2156820793
422	0.2155932821
423	0.2155096512
424	0.2154103694
425	0.2153292465
426	0.2152718105
427	0.2151943323
428	0.2151119056
429	0.2150350733
430	0.2149514633
431	0.2148712056
432	0.2147463651
433	0.2146897141
434	0.2146247961
435	0.2145468924
436	0.21448185
437	0.2143874583
438	0.2142732628
