iter	Passed	Remaining
0	9	9333
1	17	8896
2	26	8787
3	35	8857
4	44	8784
5	53	8819
6	61	8768
7	70	8795
8	80	8809
9	89	8815
10	98	8873
11	107	8873
12	117	8921
13	126	8884
14	135	8901
15	144	8876
16	153	8877
17	162	8865
18	171	8833
19	179	8809
20	182	8496
21	191	8493
22	194	8255
23	203	8278
24	212	8293
25	221	8300
26	229	8282
27	238	8276
28	247	8280
29	256	8296
30	268	8382
31	276	8378
32	285	8368
33	294	8377
34	303	8372
35	305	8173
36	314	8172
37	322	8174
38	331	8172
39	340	8180
40	349	8185
41	358	8180
42	367	8175
43	375	8168
44	384	8161
45	393	8165
46	402	8168
47	411	8168
48	420	8167
49	429	8164
50	438	8155
51	446	8141
52	449	8040
53	459	8041
54	467	8031
55	475	8017
56	484	8015
57	493	8008
58	501	8002
59	510	8000
60	519	7997
61	528	7996
62	537	7997
63	547	8000
64	555	7993
65	564	7991
66	573	7988
67	582	7981
68	590	7969
69	599	7960
70	608	7956
71	617	7955
72	626	7954
73	635	7954
74	637	7858
75	646	7855
76	654	7847
77	663	7842
78	672	7839
79	680	7831
80	689	7825
81	698	7817
82	707	7813
83	716	7813
84	725	7806
85	734	7804
86	743	7800
87	752	7797
88	761	7790
89	769	7783
90	778	7775
91	787	7770
92	796	7765
93	805	7763
94	814	7755
95	823	7753
96	832	7746
97	841	7747
98	850	7740
99	859	7735
100	864	7695
101	867	7633
102	875	7627
103	884	7622
104	893	7613
105	896	7559
106	901	7520
107	909	7515
108	918	7510
109	927	7507
110	937	7505
111	946	7500
112	954	7493
113	963	7484
114	971	7476
115	980	7470
116	989	7465
117	998	7461
118	1000	7404
119	1008	7398
120	1017	7393
121	1026	7386
122	1035	7382
123	1044	7378
124	1066	7463
125	1075	7458
126	1084	7452
127	1092	7442
128	1100	7433
129	1110	7430
130	1118	7421
131	1127	7413
132	1136	7409
133	1145	7404
134	1155	7400
135	1164	7396
136	1172	7387
137	1181	7381
138	1190	7372
139	1199	7369
140	1208	7362
141	1216	7351
142	1225	7344
143	1234	7339
144	1243	7333
145	1252	7328
146	1254	7278
147	1263	7270
148	1271	7262
149	1274	7224
150	1283	7217
151	1292	7208
152	1301	7203
153	1309	7194
154	1314	7166
155	1323	7159
156	1332	7153
157	1341	7148
158	1350	7142
159	1355	7114
160	1364	7108
161	1373	7102
162	1381	7096
163	1390	7090
164	1392	7047
165	1401	7041
166	1410	7033
167	1419	7029
168	1428	7023
169	1437	7017
170	1445	7009
171	1455	7005
172	1464	6999
173	1472	6991
174	1481	6983
175	1489	6974
176	1499	6969
177	1507	6961
178	1515	6953
179	1524	6945
180	1533	6938
181	1541	6930
182	1551	6925
183	1560	6918
184	1568	6911
185	1577	6902
186	1586	6895
187	1594	6888
188	1603	6880
189	1612	6872
190	1621	6866
191	1630	6861
192	1638	6851
193	1647	6844
194	1656	6839
195	1665	6831
196	1674	6825
197	1682	6816
198	1691	6810
199	1700	6802
200	1709	6794
201	1718	6788
202	1727	6783
203	1737	6777
204	1746	6771
205	1754	6762
206	1763	6755
207	1771	6747
208	1780	6739
209	1789	6733
210	1799	6729
